Tender ID: 54694204eadf4fadac73e2ed78d8a10c, ID: UA-2017-10-27-000028-c, response code: 200, token: 811c382556d640939db9985e908cb746, published: 2017-10-27 10:30:03.402497, lots: 1
Tender ID: 312ab8db9d0745ccb307974ff0188736, ID: UA-2017-10-30-000102-c, response code: 200, token: 563d276f4d2f40888f32a24bacb3708d, published: 2017-10-30 18:58:47.746993, lots: 0
Tender ID: 86429cc019aa42b7b053a6337d8ab7b5, ID: UA-2017-10-30-000103-c, response code: 200, token: fd8aac91add446829f495b26d990bf31, published: 2017-10-30 19:01:15.679785, lots: 2
Tender ID: d03ae363728f417b81767307c974432c, ID: UA-2017-10-30-000097-b, response code: 200, token: ce60373a940e476bb088809a41158924, published: 2017-10-30 19:02:19.236173, lots: 0
Tender ID: 5106d33bb024437db8dfe1fb5f7b9e70, ID: UA-2017-10-30-000104-c, response code: 200, token: 79eeef85d01640f48c9183b62e95c82f, published: 2017-10-30 19:02:32.786507, lots: 0
Tender ID: 6f59721f7f604eca8f505325a95d0a5f, ID: UA-2017-10-30-000189-a, response code: 200, token: 6265ce156b30414fb4a92db7e9598436, published: 2017-10-30 19:02:44.391392, lots: 2
Tender ID: f4537eb6393b47ae834fa036c20f52bf, ID: UA-2017-10-30-000105-c, response code: 200, token: 108ab31370594c7297500588a42944ef, published: 2017-10-30 19:03:02.431984, lots: 3
Tender ID: 7fd35cc6db1a47c39fa7d6ba57d6891c, ID: UA-2017-10-30-000098-b, response code: 200, token: 9803ec5d682b4e778bdd07c3ce183712, published: 2017-10-30 19:03:20.501662, lots: 0
Tender ID: 960a48ebc3004aec92a6698adc503f1b, ID: UA-2017-10-30-000111-c, response code: 200, token: 18ceb29b11a64972aaca7f44c90f6734, published: 2017-10-30 22:01:39.415000, lots: 1
Tender ID: e22716cf154a421b9deec89f212287ad, ID: UA-2017-10-30-000102-b, response code: 200, token: dadb289653ec4207bd15d48c11962009, published: 2017-10-30 22:02:31.203000, lots: 0
Tender ID: 3c27d8f806dd4b748a885ce176504209, ID: UA-2017-10-30-000201-a, response code: 200, token: fba5066191d54d83b3bd86e864940c77, published: 2017-10-30 22:17:18.196000, lots: 2
Tender ID: ec25d338c0ac4cef9f8013da9c9cb15a, ID: UA-2017-10-30-000103-b, response code: 200, token: b021979b85094bd7bf2d64b868fbe1a7, published: 2017-10-30 22:17:25.252000, lots: 0
